"n" "m" "A" "B"
10 10 87.603 78.07
10 10 76.755 81.826
10 10 77.809 87.056
10 10 77.681 82.829
10 10 86.353 84.803
10 10 79.646 86.423
10 10 76.85 87.967
10 10 90.044 91.766
10 10 81.939 87.059
10 10 83.891 81.64
10 10 83.118 89.998
10 10 88.454 82.853
10 10 78.823 83.097
10 10 82.742 82.853
10 10 81.466 78.379
10 10 86.431 92.813
10 10 76.084 78.791
10 10 78.884 86.495
10 10 76.646 84.589
10 10 82.838 83.765
12 10 172.267 187.028
12 10 182.107 204.491
12 10 172.772 167.835
12 10 168.588 163.889
12 10 168.531 168.04
12 10 172.398 178.098
12 10 165.166 178.192
12 10 166.059 175.053
12 10 191.794 182.003
12 10 160.917 165.33
12 10 173.479 168.45
12 10 170.952 177.711
12 10 187.717 178.539
12 10 183.484 171.059
12 10 176.298 185.563
12 10 175.588 173.321
12 10 168.123 179.477
12 10 160.152 167.785
12 10 164.258 167.825
12 10 164.65 173.067
14 10 317.09 352.33
14 10 297.794 331.607
14 10 307.765 327.435
14 10 342.071 352.301
14 10 293.727 339.583
14 10 341.303 339.932
14 10 304.355 356.577
14 10 304.736 320.418
14 10 299.548 346.92
14 10 302.741 320.849
14 10 321.063 348.538
14 10 297.225 338.407
14 10 320.792 340.38
14 10 290.166 341.199
14 10 305.668 344.539
14 10 336.556 341.729
14 10 315.175 332.43
14 10 306.405 311.545
14 10 301.318 330.157
14 10 299.712 320.64
16 10 541.572 578.914
16 10 528.152 578.504
16 10 519.97 575.542
16 10 530.698 549.253
16 10 526.706 539.451
16 10 536.624 533.876
16 10 545.596 668.486
16 10 573.309 678.4
16 10 535.877 547.797
16 10 537.939 648.657
16 10 524.048 552.294
16 10 550.189 602.423
16 10 581.379 573.08
16 10 507.582 566.029
16 10 585.497 588.509
16 10 523.185 617.333
16 10 509.85 584.206
16 10 571.991 617.297
16 10 533.661 566.473
16 10 528.791 595.392
18 10 863.657 922.736
18 10 813.213 885.349
18 10 897.311 967.273
18 10 904.438 950.132
18 10 795.721 874.238
18 10 863.643 975.028
18 10 811.016 910.244
18 10 807.534 843.14
18 10 831.081 878.542
18 10 834.443 925.308
18 10 928.03 903.973
18 10 823.854 940.56
18 10 1032.23 941.462
18 10 909.518 949.32
18 10 817.017 911.878
18 10 799.672 895.371
18 10 787.588 896.776
18 10 838.161 859.261
18 10 831.406 939.541
18 10 827.445 885.221
20 10 1205.12 1358.79
20 10 1178.89 1294.23
20 10 1475.5 1417.28
20 10 1238.58 1426.53
20 10 1281.8 1377.32
20 10 1328.82 1378.04
20 10 1539.67 1432.94
20 10 1302.18 1389.54
20 10 1231.49 1412.64
20 10 1293.26 1347.49
20 10 1356.61 1348.9
20 10 1210.88 1357.24
20 10 1302.48 1365.82
20 10 1295.06 1391.84
20 10 1263.64 1344.32
20 10 1439.28 1443.6
20 10 1410.65 1446.7
20 10 1273.41 1413.23
20 10 1329.11 1397.73
20 10 1278.98 1367.68
