"n" "m" "A" "B"
10 100 122.685 153.86
10 100 111.79 157.146
15 100 700.059 898.525
15 100 643.592 875.009
20 100 1825.82 2540.1
20 100 2078.81 2553.44
25 100 4870.28 6164.12
25 100 6948.53 7662.39
30 100 9835.51 12754.4
30 100 8983.45 12512.9
35 100 24690.8 27460.9
35 100 24592 24532.2
40 100 45469.5 48554.5
40 100 38943.5 50707.1
45 100 74088.6 75425.7
45 100 70519.4 77764.9
50 100 75173.2 95325.4
50 100 91561.1 108390
55 100 133569 178892
55 100 122449 170003
60 100 231556 217125
60 100 172075 240816
65 100 300067 372709
65 100 521558 437634
70 100 365744 443201
70 100 450471 495178
75 100 510066 611786
75 100 627745 653578
80 100 605615 751404
80 100 614283 734363
85 100 1.06817e+06 1.1182e+06
85 100 866874 1.04958e+06
90 100 884309 1.15193e+06
90 100 1.3023e+06 1.49488e+06
95 100 1.52895e+06 1.53565e+06
95 100 959404 1.41569e+06
100 100 1.33493e+06 1.90404e+06
100 100 1.40078e+06 1.89456e+06
