"n" "m" "A" "B"
10 10 86.249 84.877
10 100 130.179 177.445
10 1000 179.035 253.045
12 10 211.266 191.074
12 100 207.334 285.719
12 1000 284.265 449.579
14 10 355.155 425.964
14 100 524.259 634.603
14 1000 696.124 975.591
16 10 604.748 619.328
16 100 766.952 946.191
16 1000 1216.29 1584.82
18 10 847.826 885.82
18 100 1448 1679.57
18 1000 1714.94 2218.57
20 10 1293.25 1454.98
20 100 2096.34 2468.74
20 1000 2714.78 3464.61
